Nome do Arquivo;Tempo de Processamento(ms);Quantidade de Linhas
tarefas43000.txt;42;43000
tarefas20000.txt;9;20000
tarefas6000.txt;2;6000
tarefas51000.txt;14;51000
tarefas32000.txt;6;32000
tarefas67000.txt;14;67000
tarefas79000.txt;13;79000
tarefas75000.txt;22;75000
tarefas16000.txt;3;16000
tarefas98000.txt;18;98000
tarefas86000.txt;13;86000
tarefas94000.txt;13;94000
tarefas96000.txt;10;96000
tarefas88000.txt;10;88000
tarefas84000.txt;10;84000
tarefas30000.txt;3;30000
tarefas53000.txt;6;53000
tarefas8000.txt;1;8000
tarefas4000.txt;0;4000
tarefas22000.txt;2;22000
tarefas41000.txt;4;41000
tarefas69000.txt;8;69000
tarefas14000.txt;2;14000
tarefas77000.txt;8;77000
tarefas65000.txt;6;65000
tarefas18000.txt;2;18000
tarefas80000.txt;9;80000
tarefas92000.txt;9;92000
tarefas61000.txt;8;61000
tarefas10000.txt;2;10000
tarefas73000.txt;9;73000
tarefas26000.txt;3;26000
tarefas38000.txt;6;38000
tarefas45000.txt;5;45000
tarefas34000.txt;4;34000
tarefas49000.txt;5;49000
tarefas57000.txt;6;57000
tarefas71000.txt;8;71000
tarefas12000.txt;1;12000
tarefas63000.txt;7;63000
tarefas28000.txt;2;28000
tarefas55000.txt;7;55000
tarefas36000.txt;6;36000
tarefas47000.txt;6;47000
tarefas24000.txt;3;24000
tarefas2000.txt;1;2000
tarefas59000.txt;7;59000
tarefas90000.txt;15;90000
tarefas82000.txt;14;82000
tarefas87000.txt;14;87000
tarefas99000.txt;19;99000
tarefas95000.txt;16;95000
tarefas78000.txt;7;78000
tarefas66000.txt;6;66000
tarefas17000.txt;1;17000
tarefas74000.txt;7;74000
tarefas21000.txt;3;21000
tarefas7000.txt;0;7000
tarefas42000.txt;4;42000
tarefas33000.txt;4;33000
tarefas50000.txt;5;50000
tarefas76000.txt;7;76000
tarefas15000.txt;2;15000
tarefas68000.txt;6;68000
tarefas19000.txt;2;19000
tarefas64000.txt;6;64000
tarefas9000.txt;2;9000
tarefas52000.txt;5;52000
tarefas31000.txt;3;31000
tarefas40000.txt;4;40000
tarefas5000.txt;1;5000
tarefas23000.txt;2;23000
tarefas89000.txt;8;89000
tarefas97000.txt;12;97000
tarefas85000.txt;9;85000
tarefas44000.txt;5;44000
tarefas39000.txt;4;39000
tarefas1000.txt;0;1000
tarefas27000.txt;3;27000
tarefas56000.txt;7;56000
tarefas48000.txt;8;48000
tarefas35000.txt;5;35000
tarefas60000.txt;7;60000
tarefas72000.txt;8;72000
tarefas11000.txt;1;11000
tarefas81000.txt;9;81000
tarefas93000.txt;11;93000
tarefas91000.txt;8;91000
tarefas83000.txt;8;83000
tarefas37000.txt;4;37000
tarefas54000.txt;9;54000
tarefas29000.txt;4;29000
tarefas58000.txt;6;58000
tarefas25000.txt;2;25000
tarefas3000.txt;0;3000
tarefas46000.txt;5;46000
tarefas13000.txt;2;13000
tarefas70000.txt;6;70000
tarefas62000.txt;6;62000
