Nome do Arquivo;Tempo de Processamento(ms);Quantidade de Linhas
tarefas43000.txt;187;43000
tarefas20000.txt;26;20000
tarefas6000.txt;4;6000
tarefas51000.txt;131;51000
tarefas32000.txt;77;32000
tarefas67000.txt;443;67000
tarefas79000.txt;595;79000
tarefas75000.txt;553;75000
tarefas16000.txt;23;16000
tarefas98000.txt;941;98000
tarefas86000.txt;696;86000
tarefas94000.txt;830;94000
tarefas96000.txt;889;96000
tarefas88000.txt;768;88000
tarefas84000.txt;737;84000
tarefas30000.txt;94;30000
tarefas53000.txt;295;53000
tarefas8000.txt;7;8000
tarefas4000.txt;2;4000
tarefas22000.txt;50;22000
tarefas41000.txt;179;41000
tarefas69000.txt;458;69000
tarefas14000.txt;19;14000
tarefas77000.txt;583;77000
tarefas65000.txt;423;65000
tarefas18000.txt;31;18000
tarefas80000.txt;638;80000
tarefas92000.txt;820;92000
tarefas61000.txt;369;61000
tarefas10000.txt;11;10000
tarefas73000.txt;528;73000
tarefas26000.txt;68;26000
tarefas38000.txt;146;38000
tarefas45000.txt;202;45000
tarefas34000.txt;117;34000
tarefas49000.txt;244;49000
tarefas57000.txt;330;57000
tarefas71000.txt;497;71000
tarefas12000.txt;15;12000
tarefas63000.txt;400;63000
tarefas28000.txt;80;28000
tarefas55000.txt;320;55000
tarefas36000.txt;138;36000
tarefas47000.txt;238;47000
tarefas24000.txt;59;24000
tarefas2000.txt;1;2000
tarefas59000.txt;363;59000
tarefas90000.txt;790;90000
tarefas82000.txt;669;82000
tarefas87000.txt;708;87000
tarefas99000.txt;949;99000
tarefas95000.txt;926;95000
tarefas78000.txt;594;78000
tarefas66000.txt;437;66000
tarefas17000.txt;28;17000
tarefas74000.txt;545;74000
tarefas21000.txt;40;21000
tarefas7000.txt;5;7000
tarefas42000.txt;167;42000
tarefas33000.txt;108;33000
tarefas50000.txt;246;50000
tarefas76000.txt;556;76000
tarefas15000.txt;21;15000
tarefas68000.txt;432;68000
tarefas19000.txt;34;19000
tarefas64000.txt;390;64000
tarefas9000.txt;8;9000
tarefas52000.txt;252;52000
tarefas31000.txt;92;31000
tarefas40000.txt;159;40000
tarefas5000.txt;3;5000
tarefas23000.txt;50;23000
tarefas89000.txt;764;89000
tarefas97000.txt;893;97000
tarefas85000.txt;706;85000
tarefas44000.txt;182;44000
tarefas39000.txt;146;39000
tarefas1000.txt;0;1000
tarefas27000.txt;72;27000
tarefas56000.txt;312;56000
tarefas48000.txt;227;48000
tarefas35000.txt;122;35000
tarefas60000.txt;362;60000
tarefas72000.txt;507;72000
tarefas11000.txt;12;11000
tarefas81000.txt;643;81000
tarefas93000.txt;847;93000
tarefas91000.txt;791;91000
tarefas83000.txt;666;83000
tarefas37000.txt;132;37000
tarefas54000.txt;280;54000
tarefas29000.txt;82;29000
tarefas58000.txt;311;58000
tarefas25000.txt;60;25000
tarefas3000.txt;1;3000
tarefas46000.txt;212;46000
tarefas13000.txt;17;13000
tarefas70000.txt;469;70000
tarefas62000.txt;370;62000
